Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
97	99501.44684	1	1	79601.15747	99501.44684	1	1	1	99501.44684	1	1	1
98	102486.4902	1	1	81989.1922	102486.4902	1	1	1	102486.4902	1	1	1
99	105561.085	1	1	84448.86797	105561.085	1	1	1	105561.085	1	1	1
100	108727.9175	1	1	86982.334	108727.9175	1	1	1	108727.9175	1	1	1
101	112479.0307	1	1	89983.22453	112479.0307	1	1	1	112479.0307	1	1	1
102	116359.5572	1	1	93087.64577	116359.5572	1	1	1	116359.5572	1	1	1
103	120373.9619	1	1	96299.16955	120373.9619	1	1	1	120373.9619	1	1	1
104	582866	1	1	466293	582866	1	1	1	582866	1	1	1
105	611763	1	1	489410	611763	1	1	1	611763	1	1	1
106	627057	1	1	501646	627057	1	1	1	627057	1	1	1
107	642733	1	1	514186	642733	1	1	1	642733	1	1	1
108	658801	1	1	527041	658801	1	1	1	658801	1	1	1
109	675271	1	1	540217	675271	1	1	1	675271	1	1	1
110	1039267.25	1	1	831414	1039267.25	1	1	1	1039267.25	1	1	1
111	1075123.209	1	1	860099	1075123.209	1	1	1	1075123.209	1	1	1
112	1112213.744	1	1	889771	1112213.744	1	1	1	1112213.744	1	1	1
113	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
114	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
115	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
116	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
117	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
118	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
119	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
120	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
121	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
122	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
123	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
